record_id,activitywindow_date_id,source_id,country,value,isOriginal,threshold
,2372,76,CYP,1,1,1
,2372,76,GMB,1,1,1
,2372,76,WSM,1,1,1
,2372,76,CYM,0,1,1
,2372,76,MMR,0,1,1
,2372,76,DMA,0,1,1
,2372,76,MRT,0,1,1
,2372,76,DJI,0,1,1
,2372,76,COM,0,1,1
,2372,76,ISL,0,1,1
,2372,76,MNP,0,1,1
,2372,76,SOM,0,1,1
,2372,76,ALB,0,1,1
,2372,76,MDV,0,1,1
,2372,76,BTN,0,1,1
,2372,76,BRN,0,1,1
,2372,76,MKD,0,1,1
,2372,76,NU2,0,1,1
,2372,76,MAC,0,1,1
,2372,76,GLP,0,1,1
,2372,76,PSE,0,1,1
,2372,76,MNE,0,1,1
,2372,76,SVN,0,1,1
,2372,76,KGZ,0,1,1
,3269,76,GGG,107637,1,1
,3269,76,BRA,53172,1,1
,3269,76,COL,7744,1,1
,3269,76,MEX,7223,1,1
,3269,76,USA,4676,1,1
,3269,76,VEN,3674,1,1
,3269,76,PER,3234,1,1
,3269,76,ECU,3017,1,1
,3269,76,AGO,2625,1,1
,3269,76,NGA,1688,1,1
,3269,76,MOZ,1361,1,1
,3269,76,CHL,1243,1,1
,3269,76,GTM,1155,1,1
,3269,76,EGY,898,1,1
,3269,76,RUS,888,1,1
,3269,76,GBR,714,1,1
,3269,76,HND,702,1,1
,3269,76,CRI,667,1,1
,3269,76,MAR,616,1,1
,3269,76,PAN,598,1,1
,3269,76,PRT,592,1,1
,3269,76,CIV,533,1,1
,3269,76,ZAF,515,1,1
,3269,76,COD,489,1,1
,3269,76,CMR,466,1,1
,3269,76,DZA,433,1,1
,3269,76,NIC,430,1,1
,3269,76,FRA,420,1,1
,3269,76,CAN,392,1,1
,3269,76,BEN,352,1,1
,3269,76,UGA,327,1,1
,3269,76,GHA,321,1,1
,3269,76,YEM,292,1,1
,3269,76,PRI,289,1,1
,3269,76,LBN,255,1,1
,3269,76,KEN,240,1,1
,3269,76,PNG,236,1,1
,3269,76,DEU,219,1,1
,3269,76,ESP,212,1,1
,3269,76,ARG,206,1,1
,3269,76,JOR,205,1,1
,3269,76,ETH,180,1,1
,3269,76,GAB,180,1,1
,3269,76,ZMB,179,1,1
,3269,76,AUS,169,1,1
,3269,76,HTI,157,1,1
,3269,76,MDG,149,1,1
,3269,76,CPV,149,1,1
,3269,76,UKR,138,1,1
,3269,76,BWA,136,1,1
,3269,76,COG,129,1,1
,3269,76,IND,125,1,1
,3269,76,PHL,122,1,1
